"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Thurlow, L.; Ford, P.; Hudson, G.","Thurlow, Lisa (57204216002); Ford, Peter B. (55161326900); Hudson, Grahame (57204777206)","57204216002; 55161326900; 57204777206","Skirting the Sketch: An Analysis of Sketch Inhibition within Contemporary Design Higher Education","2019","International Journal of Art and Design Education","38","2","","478","491","14","10.1111/jade.12207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057089885&doi=10.1111%2Fjade.12207&partnerID=40&md5=626ce6fed5c9a6dd05a991a55356d411","Sketch inhibition is regularly alluded to by educators within design higher education and one with increasingly marked effects on industry. Over the past thirty years, students have been observed to engage less with the manual processes of design development process in favour of other activities perceived as more attractive, to the detriment of their development as effective designers. This article offers an evaluation of literature which supports the importance of sketching to the design process across a variety of disciplines, its anatomy and functions and demonstrates its role in cognitive support, as a language, a means of reflection, communication and storage of information and the micro-processes it embodies. Initial findings regarding the symptoms of sketch inhibition are presented: from avoidance of studio sessions and minimal design development, to an overreliance on digital tools. It considers causes, ranging from lacking skill-sets, psycho-social, to technological, and although further investigation is recommended to establish depth and enable development of an appropriate pedagogical framework for its management within HE, various methods are offered at this stage for use by educators: these include fine art exercises, a rigorous pursuit of quantity and even paper type. © 2018 The Authors. iJADE © 2018 NSEAD/John Wiley & Sons Ltd","design education; design method(s); design methodology; design pedagogy; design tools; sketch inhibition","","Article","Final","","Scopus","2-s2.0-85057089885"
"Russell, V.; Clarke, M.; Loo, C.E.; Bharathy, A.; Vasudevan, U.; Byrne, E.; Smith, S.M.","Russell, Vincent R. (57208488293); Clarke, Mary Catherine (8433785000); Loo, Chingee (57201504017); Bharathy, Arokiamary (56668729700); Vasudevan, Umadevi (57079075100); Byrne, Elaine (56223447700); Smith, Susan M. (55702303900)","57208488293; 8433785000; 57201504017; 56668729700; 57079075100; 56223447700; 55702303900","Medical Student Perceptions of the Value of Learning Psychiatry in Primary Care Settings in Penang, Malaysia","2019","Academic Psychiatry","43","2","","157","166","8","10.1007/s40596-018-0960-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063251383&doi=10.1007%2Fs40596-018-0960-0&partnerID=40&md5=7054c4a6438803c9d91334192932bf97","Objective: The study’s objective was to determine the educational value of participation in a consultation/liaison psychiatry service to primary care clinics, from the perspective of Malaysian medical undergraduates. Methods: A mixed method design was used. Fourth-year medical students participated in a consultation/liaison psychiatry service to two government-operated primary care clinics. Each student attended two half-day consultations to the clinics during the psychiatry clinical clerkship. Students joined in discussions with primary care clinicians, performed supervised clinical assessments, and administered a depression screening instrument. The learning experience was evaluated through four focus groups, each with 9–10 participants, held throughout the academic year. An end-of-year, anonymous, online questionnaire survey was administered to the entire class. Thematic analysis of focus group transcripts was performed and quantitative statistics were calculated (Stata version 13). Results: Focus group themes included the following: (a) active learning opportunities in primary care psychiatry consultation had perceived added educational value, (b) students benefited from contact with patients with previously undiagnosed common mental disorders, and (c) students’ primary care experience raised their awareness of societal and professional responsibilities. Of the class of 113 students, 93 (82%) responded to the questionnaire. The survey responses reflected the qualitative themes, with 79 respondents (85%) stating that the learning experience met or exceeded their expectations. Conclusions: Academic psychiatry has been criticized for its overreliance on secondary care settings in undergraduate clinical teaching. Our findings suggest that supervised clinical placements in primary care are feasible and provide added educational value as a routine component of the undergraduate psychiatry clinical clerkship. © 2018, Academic Psychiatry.","Consultation-liaison psychiatry; Medical students; Primary care","adult; clinical education; curriculum; education; female; human; information processing; Malaysia; male; medical education; medical student; patient referral; perception; primary health care; psychiatry; psychology; questionnaire; young adult; Adult; Clinical Clerkship; Curriculum; Education, Medical, Undergraduate; Female; Focus Groups; Humans; Male; Perception; Primary Health Care; Psychiatry; Referral and Consultation; Students, Medical; Surveys and Questionnaires; Young Adult","Article","Final","","Scopus","2-s2.0-85063251383"
"Weis, R.; Till, C.H.; Erickson, C.P.","Weis, Robert S. (35849309800); Till, Christina H. (57196052032); Erickson, Celeste P. (57196052040)","35849309800; 57196052032; 57196052040","ADHD Assessment in College Students: Psychologists’ Adherence to DSM-5 Criteria and Multi-Method/Multi-Informant Assessment","2019","Journal of Psychoeducational Assessment","37","2","","209","225","26","10.1177/0734282917735152","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062846980&doi=10.1177%2F0734282917735152&partnerID=40&md5=09dcea5ca2dd759191715bee6f506173","The evidence-based assessment of attention-deficit/hyperactivity disorder (ADHD) depends on adherence to Diagnostic and Statistical Manual of Mental Disorders (5th ed.; DSM-5) diagnostic criteria and reliance on multi-method/multi-informant data. Although nearly all psychologists endorse these practices, college students with ADHD may lack documentation supporting their diagnoses. We reviewed the documentation submitted by 214 undergraduates diagnosed with ADHD and receiving academic accommodations for this condition. Their clinicians also completed a checklist that described their assessment procedures. Relatively few psychologists assessed all DSM-5 criteria, based on either the psychologist’s self-reported assessment procedures (23.4%), written documentation (14.0%), or multi-method/multi-informant data (10.3%) such as educational/medical records, results of rating scales, or interviews with other informants. Psychologists were least likely to assess students’ areas of impairment or to rule out alternative causes for students’ self-reported symptoms. This lack of adherence to DSM-5 criteria and overreliance on students’ self-reports can threaten the reliability of diagnosis and the appropriateness of medication and accommodations that follow. © The Author(s) 2017.","academic accommodations; ADHD; assessment; college students; disabilities; psychopathologies and symptomologies","","Article","Final","","Scopus","2-s2.0-85062846980"
"Edwards, M.R.; Clinton, M.E.","Edwards, Martin R. (36132794400); Clinton, Michael E. (56524212700)","36132794400; 56524212700","A study exploring the impact of lecture capture availability and lecture capture usage on student attendance and attainment","2019","Higher Education","77","3","","403","421","121","10.1007/s10734-018-0275-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048034546&doi=10.1007%2Fs10734-018-0275-9&partnerID=40&md5=aadc7ebe808b09c358976e7bc8889e8b","Lecture capture is widely used within higher education as a means of recording lecture material for online student viewing. However, there is some uncertainty around whether this is a uniformly positive development for students. The current study examines the impact of lecture capture introduction and usage in a compulsory second year research methods module in a undergraduate BSc degree. Data collected from a matched cohort before (N = 161) and after (N = 160) lecture capture introduction showed that attendance substantially dropped in three matched lectures after capture became available. Attendance, which predicts higher attainment (controlling for students’ previous grade and gender), mediates a negative relationship between lecture capture availability and attainment. Lecture capture viewing shows no significant relationship with attainment whilst factoring in lecture attendance; capture viewing also fails to compensate for the impact that low attendance has on attainment. Thus, the net effect of lecture capture introduction on the cohort is generally negative; the study serves as a useful example (that can be communicated students) of the pitfalls of an over-reliance on lecture capture as a replacement for lecture attendance. © 2018, The Author(s).","Lecture attendance; Lecture capture; Lecture recording; Student attainment","","Article","Final","All Open Access; Green Final Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85048034546"
"Knuth, E.; Zaslavsky, O.; Ellis, A.","Knuth, Eric J. (6701500982); Zaslavsky, Orit (9537268500); Ellis, Amy Burns (8290288600)","6701500982; 9537268500; 8290288600","The role and use of examples in learning to prove","2019","Journal of Mathematical Behavior","53","","","256","262","24","10.1016/j.jmathb.2017.06.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021951684&doi=10.1016%2Fj.jmathb.2017.06.002&partnerID=40&md5=91664c1e8ebb332592e9f96532dc6911","Proof is central to mathematical practice, yet a perennial concern is that students of all ages struggle in learning to prove. Mathematics education scholars have suggested that overreliance on examples to justify the truth of statements is a contributing factor for students’ difficulties. While example-based reasoning has typically been viewed as a stumbling block to learning to prove, we view example-based reasoning as an important object of study and posit that examples play both a foundational and an essential role in the development, exploration, and understanding of conjectures, as well as in subsequent attempts to develop proofs of those conjectures. In this paper, we provide an overview of our project whose goals were to (a) investigate the nature of middle school and high school students’, undergraduate students’, and mathematicians’ thinking about the examples they use when developing, exploring, and proving conjectures; and (b) investigate ways in which thinking about and analyzing examples may facilitate the development of students’ learning to prove. © 2017 Elsevier Inc.","Examples; Justification; Mathematical reasoning; Proof","","Article","Final","","Scopus","2-s2.0-85021951684"
"Khan, Z.R.; Mumtaz, S.; Hemnani, P.; Raheja, S.","Khan, Zeenath Reza (55252268800); Mumtaz, Sabiha (57209537090); Hemnani, Priyanka (57213164857); Raheja, Sanjana (57213166402)","55252268800; 57209537090; 57213164857; 57213166402","Whose work is it anyway? Exploring the existence of contract cheating in the UAE context","2019","Towards Consistency and Transparency in Academic Integrity","","","","199","211","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137248982&partnerID=40&md5=af1667fa262a30b9b600bf2d09ad7009","Academic integrity is the foundation upon which the academic sector stands. Contract cheating, a form of academic dishonesty where students get assessments written by others, has taken on a darker turn with the ease of use and over-reliance on technology. To the best of the researchers' knowledge, no studies so far have looked at the student population and trends in contract cheating in the UAE ( United Arab Emirates), a country whose education sector has been booming in recent years. Therefore, it is imperative to explore and understand the contract cheating phenomenon in the UAE. For this preliminary study, focus group interviews were conducted with undergraduate students. The results indicated that 95% of students were aware of contract cheating, 91% aware of others receiving substantial, unpermitted help, and 77% were aware of others turning in work done by others. These findings document the first records of student-reported incidences and establish the existence of contract cheating in the UAE. With this knowledge, the paper paves the way for a comprehensive future study with a larger dataset of instances in the UAE. © Peter Lang GmbH Internationaler Verlag der Wissenschaften Berlin 2018. All rights reserved.","Academic integrity; Contract cheating; E-cheating; Essay mills; Student cheating; UAE","","Book chapter","Final","","Scopus","2-s2.0-85137248982"
"Chu, E.L.","Chu, Elise L. (58037595300)","58037595300","Understanding the Nature of Consciousness, Self, and Reality","2019","Curriculum Studies Worldwide","","","","101","114","0","10.1007/978-3-030-17701-0_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145315905&doi=10.1007%2F978-3-030-17701-0_5&partnerID=40&md5=2911341cd8dbf28fdcd7cda7807fc1fe","Part IV explores how we might understand curriculum as an experience of consciousness transformation by means of examining six key elements (Chaps. 5, 6, 7, 8, 9 and 10 ). This chapter firstly addresses the issues of the overreliance on science and rationalism in the educational landscape, including the (in)validity of scientific knowledge, frozen futurism, and the diminished half-life, and explores the limitations of scientific method and rational analysis in answering the existential inquiries. Uncovering the fundamental differences between the approach of negation and the approach of science, the author then argues for the imperative of integrating existential knowledge and spiritual wisdom regarding the nature of consciousness, self, and reality into curriculum. The significance of the union of method and wisdom, or the analytical and intuitive, for consciousness transformation is supported with experimental evidence. © 2019, The Author(s).","","","Book chapter","Final","","Scopus","2-s2.0-85145315905"
"Torres Ovando, E.M.; Maddocks, D.L.S.; Valenzuela, A.","Torres Ovando, Edgar M. (57222672070); Maddocks, Danika L.S. (57194318968); Valenzuela, Angela (35938200200)","57222672070; 57194318968; 35938200200","Assessment and English Language Learners in Special Education","2019","Language Policy(Netherlands)","18","","","57","76","0","10.1007/978-3-030-10831-1_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103731387&doi=10.1007%2F978-3-030-10831-1_4&partnerID=40&md5=215f74ca0e5ce6aeed242edaddffa962","Since the implementation of the No Child Left Behind Act in 2001, statewide accountability measures have drastically changed the way schools address achievement gaps among various student populations. One of the negative consequences of this legislation includes the overreliance on standardized assessment programs across all states. However, one of the populations most impacted are students who are classified as English learners and receive special education services. The following chapter highlights some of the issues English learners in special education programs have faced in Texas. This chapter also makes recommendations for appropriately assessing this student population to truly measure their academic achievement. © The Author(s) 2019.","Academic achievement; Education policy; English language learners; High-stakes accountability; Sandardized testing; Special education","","Book chapter","Final","","Scopus","2-s2.0-85103731387"
"Jhangiani, R.S.","Jhangiani, Rajiv S. (35109428700)","35109428700","Delivering on the promise of open educational resources: Pitfalls and strategies","2019","MOOCs and Open Education in the Global South: Challenges, Successes, and Opportunities","","","","56","62","2","10.4324/9780429398919-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085749692&doi=10.4324%2F9780429398919-7&partnerID=40&md5=306bf608bf9ff2d04fda3ae638148334","This chapter summarizes the growth and promise of the open educational resources (OER) movement. At the same time, it emphasizes that in order for OER to achieve its potential in widening equitable access to education, practitioners must be mindful of several pitfalls. These problems and pitfalls include the assumption that all students have access to digital technologies. Another issue relates to the overreliance on under-compensated or voluntary academic labour to create OER. A third pitfall is the ignorance of critical accessibility requirements while developing OER. The fourth issue relates to the disregard for data privacy when utilizing educational technologies. Finally, there is the mounting problem of the undermining of the spirit and practice of “open” education with the entry of commercial publishers into the OER space. Each of these challenges and issues is addressed in this chapter. © 2020 Taylor & Francis.","","","Book chapter","Final","","Scopus","2-s2.0-85085749692"
"Gao, C.Y.","Gao, Yuan (56430080800)","56430080800","Australia","2019","Palgrave Studies in Global Higher Education","","","","155","184","0","10.1007/978-3-030-21465-4_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078846023&doi=10.1007%2F978-3-030-21465-4_6&partnerID=40&md5=07c86f4f5febcfdc4916347c73433e29","As a country that has attracted countless migrants, Australia has advantages in internationalizing its higher education sector, and Australian universities’ tolerance of multiple cultures makes them prevalent destinations for international students. Australian universities’ splendid outcomes in recruiting international students have contributed significantly to their financial stability and sustainability, while the over-reliance on fee-paying international students has aroused concerns about the declining quality of the degrees. From the perspective of Australian universities’ leaders, the economic incentive for being internationalized is not the entire picture, and academic excellence, as well as cultural openness and tolerance, are at least equally important as the economic motivation. Universities have taken actions already to expand the breadth and depth of internationalization to maintain their competitiveness in the global market. © The Author(s) 2019.","","","Book chapter","Final","","Scopus","2-s2.0-85078846023"
"Simonsen, R.","Simonsen, Russell (57210421053)","57210421053","An analysis of the problematic discourse surrounding ""authentic texts""","2019","Hispania","102","2","","245","258","15","10.1353/hpn.2019.0045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070581369&doi=10.1353%2Fhpn.2019.0045&partnerID=40&md5=08427ced3f53b8ae0f7275cbdff7ec4d","In L2 (second language) pedagogy, texts are commonly distinguished based on whether language instruction was a consideration in their creation. Texts that are not created for L2 instruction, or ""authentic texts,"" have been thought to represent the target language in an accurate and reliable way (Zyzik and Polio 2017). Conversely, texts that are produced with language learning in mind (""non-authentic texts""), such as those often found in textbooks, have received a markedly negative depiction; they have been considered contrived texts with distorted and artificial language, and their sociocultural purpose has been questioned (e.g., Gilmore 2007; Glisan and Donato 2017). An analysis of these polarized characterizations reveals an overreliance on subjective qualities to distinguish the two types of texts and an implicit assumption that language can exist in an authentic, complete form. Additionally, the ideology of authenticity continues to influence our perception of language users, since native speakers are more often associated with authenticity than others. This paper problematizes the ""authentic text""/""non-authentic text"" dichotomy in L2 pedagogy and promotes a post-structuralist vision-one in which the value of a text is not determined in isolation from how students might interpret and interact with it in specific learning contexts (Guerrettaz and Johnston 2013). © © 2019 AATSP.","Authentic texts; L2 learners; Native speakers; Non-authentic texts; Post-structuralism; Textbooks","","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85070581369"
"Yusef, K.; Nelson, R.B.; Dix-Richardson, F.","Yusef, Kideste Wilder (57203000530); Nelson, Randy B. (57192662229); Dix-Richardson, Felecia A. (37017238400)","57203000530; 57192662229; 37017238400","Florida’s Historically Black Colleges and Universities Address Racial Disparities Within the Criminal Justice System Using Results-Based Accountability","2019","Race and Justice","9","1","","22","45","2","10.1177/2153368718808345","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058369196&doi=10.1177%2F2153368718808345&partnerID=40&md5=7cd95145e202c6114ec94123b5eac842","The current climate of criminal justice agencies reveals eroding community trust of local police advanced by growing attention to violence among police and citizens, differential justice in our courts, limited governmental accountability, and decades of overreliance on the correctional system and the mass incarceration of our most vulnerable citizens. The policies and practices of criminal justice agencies coupled with the conditions in which many Americans live have contributed to an overrepresentation of African Americans/Blacks within police interactions and arrests, in courts and sentencing, corrections, and juvenile justice. Similarly, the underrepresentation of African American/Blacks as practitioners and workers within these agencies have yielded a dichotomized view in which African Americans represent “the most of the worst and least of the best.” In effort to reverse these trends, the Florida Historically Black Colleges and Universities Expanding the Bench Project utilizes the consortium of Florida’s Historically Black Colleges and Universities (FL HBCUs) as an effective mechanism to educate and train criminal justice, sociology, social work, education, psychology, and STEM science faculty and students on performance management using the Results-Based Accountability framework. The purpose of the Annie E. Casey Foundation sponsored project is to increase the representation of people of color with knowledge and expertise in program evaluation. With approximately 3,000 students (undergraduate/graduate) and 30+ faculty members represented among the social, education, and behavioral science disciplines of FL HBCUs, the consortium is uniquely positioned to develop and train current and future human service professionals, leaders, and experts in Florida and nationally. © The Author(s) 2018.","race and corrections; race and juvenile justice; race and policing; racial disparities; results-based accountability","","Article","Final","","Scopus","2-s2.0-85058369196"
"Fuchs, C.","Fuchs, Carolin (57226246535)","57226246535","The Structural and Dialogic Aspects of Language Massive Open Online Courses (LMOOCs): A Case Study","2019","Computer-Assisted Language Learning: Concepts, Methodologies, Tools, and Applications: Volume 1-4","3","","","1540","1562","6","10.4018/978-1-5225-7663-1.ch073","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014392553&doi=10.4018%2F978-1-5225-7663-1.ch073&partnerID=40&md5=c23dda43eece7c04947bfe896e5992c6","This case study contributes to the growing body of research on Language Massive Open Online Courses (LMOOCs) by examining their structural aspects (i.e., layout and format) and dialogic nature (i.e., interaction and negotiation) from the language learner’s perspective. This exploratory study draws on data from 15 student teachers of English as a Second/Foreign Language at a private graduate institution on the East Coast of the U.S. As required by their technology elective, participants who were enrolled in a beginner-level LMOOC of their choice kept a log of their learning process/progress over a period of eight weeks. At the end of the course, they were invited to fill out a post-project questionnaire to reflect on their overall experience. The goal of the project was to educate student teachers on the pedagogical underpinnings of LMOOCs while exposing them to online language learning. In this study, the focus was primarily on self-reported system interaction and profile data since the Author was not involved in the design of any of the LMOOCs. Data collection instruments included a needs analysis, weekly LMOOC logs, and a post-LMOOC questionnaire. According to the questionnaire results, student-teachers’ motivation was “satisfactory,” and only four out of 15 student teachers completed their LMOOCs. Results further showed that structural aspects (i.e., content, materials, and procedures) rank higher than dialogic aspects (i.e., scaffolding and feedback). This questions the over-reliance on content transmission and instructivist (or teacher-instruction) approaches in LMOOCs, especially since MOOCs enrolment numbers rely heavily on learner’s self-motivation to sign up and complete a course. © 2019 by IGI Global. All rights reserved.","","Curricula; Data acquisition; E-learning; Learning systems; Students; Teaching; Case-studies; East coast; Exploratory studies; Foreign language; Growing bodies; Learning process; Massive open online course; Online languages; Structural aspects; Student teachers; Motivation","Book chapter","Final","","Scopus","2-s2.0-105014392553"
"Tezgiden-Cakcak, Y.","Tezgiden-Cakcak, Yasemin (58966678700)","58966678700","Moving beyond Technicism in English-Language Teacher Education: A Case Study from Turkey","2019","Moving beyond Technicism in English-Language Teacher Education: A Case Study from Turkey","","","","1","270","13","10.5040/9781978724358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011566475&doi=10.5040%2F9781978724358&partnerID=40&md5=025a1d8c794034692b4bc1c7696275c1","Drawing attention to the threats that an overreliance on teaching techniques poses for teacher creativity, student voice, and the well-being of democracy, Moving beyond Technicism in English-Language Teacher Education advocates a critical approach to education. Using the author’s own personal experiences, this book offers a critical analysis of the technicist English-language teacher education programs introduced by Turkey’s Council of Higher Education in the neoliberal period. Beginning with the implementation of critical education at the Village Institutes in the early years of the Republic of Turkey, the book documents how teacher education practices in Turkey evolved from liberatory to mechanic with the influence of the Cold War. By demonstrating the author’s own critical teacher education practices, the book explores the impact of critical teacher education on pre-service and in-service teachers’ perceptions and practice. Highlighting the ethical responsibilities of educators, the book calls for a critical, democratic, and humanizing approach to teacher preparation. © 2019 The Rowman & Littlefield Publishing Group, Inc. All rights reserved.","","Case-studies; Critical approach; Education practices; English languages; Personal experience; Student's voices; Teacher education; Teachers'; Teaching techniques; Well being; Teaching","Book","Final","","Scopus","2-s2.0-105011566475"
"Balloo, K.; Evans, C.; Hughes, A.; Zhu, X.; Winstone, N.","Balloo, Kieran (59565072400); Evans, Carol (36157780600); Hughes, Annie (56153479900); Zhu, Xiaotong (57222038129); Winstone, Naomi (52264914300)","59565072400; 36157780600; 56153479900; 57222038129; 52264914300","Corrigendum: Transparency Isn't Spoon-Feeding: How a Transformative Approach to the Use of Explicit Assessment Criteria Can Support Student Self-Regulation(Front. Educ., (2018), 3, (69), 10.3389/feduc.2018.00069)","2018","Frontiers in Education","3","","85","","","8","10.3389/feduc.2018.00085","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092044724&doi=10.3389%2Ffeduc.2018.00085&partnerID=40&md5=57e4e27141443c364c134b23f14c961d","If little care is taken when establishing clear assessment requirements, there is the potential for spoon-feeding. However, in this conceptual article we argue that transparency in assessment is essential to providing equality of opportunity and promoting students’ self-regulatory capacity. We begin by showing how a research-informed inclusive pedagogy, the EAT Framework, can be used to improve assessment practices to ensure that the purposes, processes, and requirements of assessment are clear and explicit to students. The EAT Framework foregrounds how students’ and teachers’ conceptions of learning (i.e., whether one has a transactional or transformative conception of learning within a specific context) impact assessment practices. In this article, we highlight the importance of being explicit in promoting access to learning, and in referencing the EAT Framework, the importance of developing transformative rather than transactional approaches to being explicit. Firstly, we discuss how transparency in the assessment process could lead to “criteria compliance” (Torrance, 2007, p. 282) and learner instrumentalism if a transactional approach to transparency, involving high external regulation, is used. Importantly, we highlight how explicit assessment criteria can hinder learner autonomy if paired with an overreliance on criteria-focused ‘coaching’ from teachers.We then address how ‘being explicit with assessment’ does not constitute spoon-feeding when used to promote understanding of assessment practices, and the application of deeper approaches to learning as an integral component of an inclusive learning environment. We then provide evidence on how explicit assessment criteria allow students to self-assess as part of self-regulation, noting that explicit criteria may be more effective when drawing on a transformative approach to transparency, which acknowledges the importance of transparent and mutual student-teacher communications about assessment requirements. We conclude by providing recommendations to teachers and students about how explicit assessment criteria can be used to improve students’ learning. Through an emphasis on transparency of process, clarity of roles, and explication of what constitutes quality within a specific discipline, underpinned by a transformative approach, students and teachers should be better equipped to self-manage their own learning and teaching. © © 2018 Balloo, Evans, Hughes, Zhu and Winstone.","assessment; criteria; feedback; higher education; inclusive curriculum; self-regulation; spoon-feeding; transparency","","Erratum","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85092044724"
"Balloo, K.; Evans, C.; Hughes, A.; Zhu, X.; Winstone, N.","Balloo, Kieran (56925343500); Evans, Carol (36157780600); Hughes, Annie (56153479900); Zhu, Xiaotong (57222038129); Winstone, Naomi (52264914300)","56925343500; 36157780600; 56153479900; 57222038129; 52264914300","Transparency Isn't Spoon-Feeding: How a Transformative Approach to the Use of Explicit Assessment Criteria Can Support Student Self-Regulation","2018","Frontiers in Education","3","","69","","","36","10.3389/feduc.2018.00069","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068583541&doi=10.3389%2Ffeduc.2018.00069&partnerID=40&md5=f753f56dda9977463cdb559ae554dcf6","If little care is taken when establishing clear assessment requirements, there is the potential for spoon-feeding. However, in this conceptual article we argue that transparency in assessment is essential to providing equality of opportunity and promoting students’ self-regulatory capacity. We begin by showing how a research-informed inclusive pedagogy, the EAT Framework, can be used to improve assessment practices to ensure that the purposes, processes, and requirements of assessment are clear and explicit to students. The EAT Framework foregrounds how students' and teachers' conceptions of learning (i.e., whether one has a transactional or transformative conception of learning within a specific context) impact assessment practices. In this article, we highlight the importance of being explicit in promoting access to learning, and in referencing the EAT Framework, the importance of developing transformative rather than transactional approaches to being explicit. Firstly, we discuss how transparency in the assessment process could lead to “criteria compliance” (Torrance, 2007, p. 282) and learner instrumentalism if a transactional approach to transparency, involving high external regulation, is used. Importantly, we highlight how explicit assessment criteria can hinder learner autonomy if paired with an overreliance on criteria-focused ‘coaching’ from teachers. We then address how ‘being explicit with assessment’ does not constitute spoon-feeding when used to promote understanding of assessment practices, and the application of deeper approaches to learning as an integral component of an inclusive learning environment. We then provide evidence on how explicit assessment criteria allow students to self-assess as part of self-regulation, noting that explicit criteria may be more effective when drawing on a transformative approach to transparency, which acknowledges the importance of transparent and mutual student-teacher communications about assessment requirements. We conclude by providing recommendations to teachers and students about how explicit assessment criteria can be used to improve students' learning. Through an emphasis on transparency of process, clarity of roles, and explication of what constitutes quality within a specific discipline, underpinned by a transformative approach, students and teachers should be better equipped to self-manage their own learning and teaching. © Copyright © 2018 Balloo, Evans, Hughes, Zhu and Winstone.","assessment; criteria; feedback; higher education; inclusive curriculum; self-regulation; spoon-feeding; transparency","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85068583541"
"Thurlow, L.; Ford, P.","Thurlow, Lisa (57204216002); Ford, Peter B. (55161326900)","57204216002; 55161326900","An analysis of sketch inhibition within contemporary design education","2018","Universal Journal of Educational Research","6","9","","2036","2046","3","10.13189/ujer.2018.060923","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061757850&doi=10.13189%2Fujer.2018.060923&partnerID=40&md5=5b90b4ab82ebdf663fd101782f36f5b0","Sketch inhibition is regularly alluded to by educators as a phenomenon within design higher education, and one having increasingly marked effects on industry-but has garnered little attention from academics. This paper provides a meta-analysis of the literature and evaluation of the anatomy and functions of sketching during design ideation across a variety of disciplines. It demonstrates the importance of sketching for cognitive support, as a language, a means of reflection, and storage of information. It presents initial findings from the literature related to symptoms; from avoidance to an over reliance on digital tools and considers its causes, ranging from psycho-social, to technological. Fine art exercises have proven beneficial to its management, however further investigation is recommended to establish depth and enable a framework for its management within HE. © 2018 by authors, all rights reserved.","Design education; Design method(S); Design methodology; Design tools; Sketch inhibition","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85061757850"
"Nordine, J.; Fortus, D.; Lehavi, Y.; Neumann, K.; Krajcik, J.","Nordine, Jeffrey C. (56851823800); Fortus, David (8441397100); Lehavi, Yaron (6508286157); Neumann, Knut (35795797500); Krajcik, Joseph S. (6603708402)","56851823800; 8441397100; 6508286157; 35795797500; 6603708402","Modelling energy transfers between systems to support energy knowledge in use","2018","Studies in Science Education","54","2","","177","206","33","10.1080/03057267.2018.1598048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064699070&doi=10.1080%2F03057267.2018.1598048&partnerID=40&md5=1b3535666c8aa22cd5306f2f71ce0e6f","School instruction is critical for helping students use energy as a lens for making sense of phenomena, however, students often struggle to see the usefulness of energy analysis for interpreting the world around them. One reason for this may be an over-reliance on the idea of energy forms in introductory energy instruction, which may unintentionally suppress, rather than prompt, insights into how and why phenomena occur. We argue that an approach to energy instruction that emphasizes energy transfers between systems, and does not require the idea of energy forms, provides students with a more consistent and useful set of tools for interpreting phenomena. Such a perspective requires connecting the energy concept to the notion that fields, which mediate interaction-at-a-distance, are a real physical system that can transfer energy–an idea that is rarely presented in middle school science. We outline an instructional approach in which middle school students learn to interpret phenomena by modelling energy transfers between systems of interacting objects and fields. We argue that this approach presents a more physically accurate picture of energy, helps align energy instruction across disciplines, and supports students in seeing the value of energy as a lens for making sense of phenomena. © 2019, © 2019 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","curriculum; Energy; fields; middle school; systems","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85064699070"
